time,action,reason,pods,spike_desc,cpu,latency,prob_30s,prob_60s
0,SCALE_DOWN,Low spike probability (0.01) + Low CPU (20.0%),4,✅ NORMAL LOAD - 35 req/s,20.5,68.36958696508506,0.010724614,0.009019551
1,HOLD,In cooldown (9s remaining),4,✅ NORMAL LOAD - 35 req/s,20.5,67.98218157038195,0.011239923,0.010014549
11,SCALE_DOWN,Low spike probability (0.02) + Low CPU (20.5%),3,✅ NORMAL LOAD - 35 req/s,24.0,67.45081609302278,0.015725303,0.0118488595
12,HOLD,In cooldown (9s remaining),3,✅ NORMAL LOAD - 35 req/s,24.0,67.00947753576989,0.00974056,0.010169389
22,SCALE_DOWN,Low spike probability (0.01) + Low CPU (24.0%) [HIT MIN LIMIT],2,✅ NORMAL LOAD - 35 req/s,31.0,72.49533392499607,0.012721361,0.010716725
23,HOLD,In cooldown (9s remaining),2,✅ NORMAL LOAD - 35 req/s,31.0,73.19779818493589,0.009125253,0.009777987
