time,action,reason,pods,spike_desc,cpu,latency,prob_30s,prob_60s
0,SCALE_DOWN,Low spike probability (0.00) + Low CPU (20.0%),4,✅ NORMAL LOAD - 45 req/s,23.5,69.16732717928961,0.0046618404,0.0029443435
1,HOLD,In cooldown (9s remaining),4,✅ NORMAL LOAD - 45 req/s,23.5,71.93905644124017,0.0048165224,0.0025279736
11,SCALE_DOWN,Low spike probability (0.00) + Low CPU (23.5%),3,✅ NORMAL LOAD - 45 req/s,28.0,74.43606026834391,0.0044492288,0.002634107
12,HOLD,In cooldown (9s remaining),3,✅ NORMAL LOAD - 45 req/s,28.0,73.37860341791297,0.0047881706,0.0025748743
22,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.0%) [HIT MIN LIMIT],2,✅ NORMAL LOAD - 45 req/s,37.0,78.62239953623326,0.005600909,0.00308851
23,HOLD,In cooldown (9s remaining),2,✅ NORMAL LOAD - 45 req/s,37.0,78.71264839354399,0.0047951736,0.0036170718
