time,action,reason,pods,spike_desc,cpu,latency,prob_30s,prob_60s
0,SCALE_DOWN,Low spike probability (0.01) + Low CPU (20.0%),4,✅ NORMAL LOAD - 40 req/s,22.0,67.58588077104241,0.007358699,0.009342892
1,HOLD,In cooldown (9s remaining),4,✅ NORMAL LOAD - 40 req/s,22.0,66.49364474488404,0.010455811,0.008825538
11,SCALE_DOWN,Low spike probability (0.01) + Low CPU (22.0%),3,✅ NORMAL LOAD - 40 req/s,26.0,70.80738980574854,0.011642695,0.008219603
12,HOLD,In cooldown (9s remaining),3,✅ NORMAL LOAD - 40 req/s,26.0,71.60413293679572,0.01563824,0.009053839
22,SCALE_DOWN,Low spike probability (0.01) + Low CPU (26.0%) [HIT MIN LIMIT],2,✅ NORMAL LOAD - 40 req/s,34.0,78.33328101808635,0.014017064,0.012924249
23,HOLD,In cooldown (9s remaining),2,✅ NORMAL LOAD - 40 req/s,34.0,71.58990645075794,0.0099556325,0.009106561
