time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
37,35.0,2,31.0,24.625,75.788604953686,0.012482797,0.011765583,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
38,35.0,2,31.0,24.625,78.12231626835519,0.010589492,0.008929325,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
39,35.0,2,31.0,24.625,73.55666872346029,0.0126286475,0.010722723,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
40,35.0,2,31.0,24.625,75.83987325182353,0.010747682,0.009075663,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
41,35.0,2,31.0,24.625,76.02007522041423,0.010523891,0.0090440735,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
42,35.0,2,31.0,24.625,75.7994018712444,0.014484311,0.01045009,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
43,35.0,2,31.0,24.625,71.49983745318221,0.010878372,0.00905425,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
44,35.0,2,31.0,24.625,75.235419474325,0.014277336,0.01136504,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
45,35.0,2,31.0,24.625,72.44500011378388,0.010878372,0.008513569,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
46,35.0,2,31.0,24.625,74.53006265511576,0.013691763,0.0117444005,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
47,35.0,2,31.0,24.625,76.55640780464061,0.012711651,0.010846335,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
48,35.0,2,31.0,24.625,75.13856953033799,0.010749554,0.008428362,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
49,35.0,2,31.0,24.625,75.73683728189317,0.010547572,0.009680807,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
50,35.0,2,31.0,24.625,72.39326936568779,0.011680254,0.008853211,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
